%Wavelength	Trasmission BP470	Trasmission BP525	Trasmission BP660	Trasmission BP800	Trasmission BP850	Camera
1000	0.3	4.42	1.65	65.14	56.47	6
990	0.98	1.53	0.66	68.81	63.93	7
980	2.55	0.49	0.32	72.16	71.76	7.5
970	0.85	0.21	0.17	75.18	79.39	9
960	0.4	0.11	0.15	77.85	86.16	12
950	0.32	0.06	0.15	80.16	91.73	12.5
940	0.42	0	0.17	82.32	95.6	13.5
930	0.96	0.03	0.22	84.06	98.09	16
920	3.35	0	0.44	85.68	99.39	17
910	1.65	0.05	1.95	87.06	99.55	19
900	0.65	0.09	2.1	88.28	99.76	20
890	0.51	0.03	0.62	89.49	99.95	22
880	0.67	0.02	0.34	90.12	99.76	24
870	1.23	0.01	0.27	90.79	99.51	27
860	1.42	0.01	0.33	91.51	98.49	29
850	0.78	0.01	0.62	91.72	97.71	30
840	0.58	0	1.15	92.07	95.47	32
830	0.65	0.01	1.5	92.31	91.21	34
820	1.07	0.06	0.64	92.37	83.94	35
810	1.97	0.17	0.37	92.46	72.74	36.5
800	0.98	0.02	0.33	92.46	57.66	37.8
790	0.23	0.01	0.49	92.41	40.4	39
780	0.22	0	0.65	92.13	24.82	41
770	0.29	0	0.93	91.45	13.24	43
760	0.4	0.04	1.12	89.65	6.43	44
750	0.13	0.52	1.49	85.39	2.94	45
740	0.05	0.2	2.86	75.51	1.36	45.5
730	0.02	0.06	3.13	56.73	0.66	46.5
720	0.04	0.08	4.49	29.65	0.35	47
710	0.08	0.1	11.8	7.24	0.2	47.5
700	0.03	0.07	33.02	0.38	0.12	48
690	0	0.06	52.29	0	0.08	48.5
680	0	0.07	78.07	0	0.05	49
670	0	0.11	94.81	0	0.03	49.5
660	0.07	0.11	96.25	0	0	50
650	0.01	0.11	92.78	0	0	50.5
640	0	0.21	78.79	0	0	51
630	0	0.38	44.78	0	0	50.5
620	0.03	0.45	6.15	0	0	50.2
610	0.15	0.98	0.38	0	0	50
600	0.05	3.04	0.07	0	0	49.9
590	0.07	5.36	0.03	0	0	49
580	0.09	20.92	0	0	0	48
570	0.06	60.72	0	0	0	47
560	0.08	87.67	0	0	0	46.5
550	0.1	96.41	0	0	0	46.3
540	0.2	93.27	0	0	0	47
530	0.44	94.29	0	0	0	47.5
520	1.09	95.28	0	0	0	47.8
510	9.28	85.37	0	0	0	48
500	47.75	78.03	0	0	0	47.8
490	89.01	49.21	0	0	0	46.5
480	88.66	10.49	0	0	0	46
470	90.52	1.32	0	0	0	46
460	90.09	0.23	0	0	0	45
450	92.03	0.07	0	0	0	44
440	92.61	0.04	0	0	0	42

