%%Wavelength	Trasmission BP70	Trasmission BP525	Trasmission BP660	Trasmission BP800	Trasmission BP850
1000	0.018	0.2652	0.099	3.9084	3.3882
990	0.0686	0.1071	0.0462	4.8167	4.4751
980	0.19125	0.03675	0.024	5.412	5.382
970	0.0765	0.0189	0.0153	6.7662	7.1451
960	0.048	0.0132	0.018	9.342	10.3392
950	0.04	0.0075	0.01875	10.02	11.46625
940	0.0567	0	0.02295	11.1132	12.906
930	0.1536	0.0048	0.0352	13.4496	15.6944
920	0.5695	0	0.0748	14.5656	16.8963
910	0.3135	0.0095	0.3705	16.5414	18.9145
900	0.13	0.018	0.42	17.656	19.952
890	0.1122	0.0066	0.1364	19.6878	21.989
880	0.1608	0.0048	0.0816	21.6288	23.9424
870	0.3321	0.0027	0.0729	24.5133	26.8677
860	0.4118	0.0029	0.0957	26.5379	28.5621
850	0.234	0.003	0.186	27.516	29.313
840	0.1856	0	0.368	29.4624	30.5504
830	0.221	0.0034	0.51	31.3854	31.0114
820	0.3745	0.021	0.224	32.3295	29.379
810	0.71905	0.06205	0.13505	33.7479	26.5501
800	0.37044	0.00756	0.12474	34.94988	21.79548
790	0.0897	0.0039	0.1911	36.0399	15.756
780	0.0902	0	0.2665	37.7733	10.1762
770	0.1247	0	0.3999	39.3235	5.6932
760	0.176	0.0176	0.4928	39.446	2.8292
750	0.0585	0.234	0.6705	38.4255	1.323
740	0.02275	0.091	1.3013	34.35705	0.6188
730	0.0093	0.0279	1.45545	26.37945	0.3069
720	0.0188	0.0376	2.1103	13.9355	0.1645
710	0.038	0.0475	5.605	3.439	0.095
700	0.0144	0.0336	15.8496	0.1824	0.0576
690	0	0.0291	25.36065	0	0.0388
680	0	0.0343	38.2543	0	0.0245
670	0	0.05445	46.93095	0	0.01485
660	0.035	0.055	48.125	0	0
650	0.00505	0.05555	46.8539	0	0
640	0	0.1071	40.1829	0	0
630	0	0.1919	22.6139	0	0
620	0.01506	0.2259	3.0873	0	0
610	0.075	0.49	0.19	0	0
600	0.02495	1.51696	0.03493	0	0
590	0.0343	2.6264	0.0147	0	0
580	0.0432	10.0416	0	0	0
570	0.0282	28.5384	0	0	0
560	0.0372	40.76655	0	0	0
550	0.0463	44.63783	0	0	0
540	0.094	43.8369	0	0	0
530	0.209	44.78775	0	0	0
520	0.52102	45.54384	0	0	0
510	4.4544	40.9776	0	0	0
500	22.8245	37.29834	0	0	0
490	41.38965	22.88265	0	0	0
480	40.7836	4.8254	0	0	0
470	41.6392	0.6072	0	0	0
460	40.5405	0.1035	0	0	0
450	40.4932	0.0308	0	0	0
440	38.8962	0.0168	0	0	0

